Name,Address,,State,City,Phone,Email,PPN
Ainu (Asian Institute Of Nephrology & Urology),Door No. 47-11-12  1st Lane Dwarakanagar,,Andhra Pradesh,Visakhapatnam,"0891-6763333, 2536333",,No
Om Orthopadic Hospital,2nd  Floor Shivshakti Complex ,,Gujarat,Kadi,9510626376,SHASHI.BJMC@GMAIL.COM,No
Phoenix Ortho And Speciality Clinic,Shop no 3  New Geetanjali  opp. Pramila hospital  Sudama Nagar  Budhaji Nagar  Thane  Maharashtra-,,Maharashtra,Thane,9324237388,PHOENIXHOSPITALKHOPAT@GMAIL.COM,No
Saifee Hospital,P.O. Box No. 3771  15/17 Maharishi Karve Marg,,Maharashtra,Mumbai,67570111 / 67570407,SAIFEETPA@GMAIL.COM,No
7 Orange Hospital,Pawana nagar next to jain school near chapekar chowk  chinchwad,,Maharashtra,Pune,27355777,,Yes
7x Multi Speciality Hospital,4th Floor  7X corrodor  Opp. Motilal Vin Baug,,Gujarat,Bharuch,244020,7XMULTISPEIALITYHOSPITAL@GMAIL.COM,No
A B C Hospital,Assured Best Care Hospital P Ltd  # 1  Malligai Salaiannamalai Nagar  Annamalai Nagar Main Road,,Tamil Nadu,Trichy,0431 - 2760859 / 2750238 / 2750239 / 4077111,creditcell@abchospital.in,No
A B Eye Institute,Rajendra Nagar  Near Bahadurpur Gumti,,Bihar,Patna,2670292,abeyeinstitute@gmail.com,No
A C Hospital,No.8 Iiird Main Road United India Nagar Ayanavaram,,Tamil Nadu,Chennai,44-26743052/ 26749989,drlakshi@yahoo.co.in,No
A Care Orthopaedic & General Hospital,G-1 Giriraj Towar Sai Baba Nagar ,,Maharashtra,Thane,9323503637 / 7506852310,ACAREHOSP@GMAIL.COM,Yes
A G Padmavathis Hospital Limited,R.S. No. 127/1a/1a/Ia/1  Villiyanoor Main Road  Arumbarthapuram  Pondicherry,,Pondicherry,Pondicherry,0413 - 2295500 / 2292229,AGPHOSPITAL_PRO@YAHOO.IN,No
A J Hospital,Kazhakuttam  Trivandrum,,Kerala,Thiruvananthapuram,3044658,ajhospital85@gmail.com,No
A J Hospital And Research Centre,Mangalore-Udupi Highway  Kuntikana  Mangalore-575004  Mangalore,,Karnataka,Mangalore,0824 - 2225534 / 2225535,ajcorpdesk1@gmail.com,No
A K Hospital,BLOCK-7 SANJAY COMPLEX MATA MANDIR,,Madhya Pradesh,Bhopal,2776619/4232463,AKHOSPITAL84@GMAIL.COM,No
A K N Nursing Homes,20  Kellys Road  Kilpauk,,Tamil Nadu,Chennai,044 - 26445015 / 26440665,akn.akn10@gmail.com,No
A N Beach Hospital,15-9-13/24  Maharanipeta  Beach Road  Krishna Nagar,,Andhra Pradesh,Visakhapatnam,0891 - 3268080 / 3263339,anbeach@yahoo.co.in,No
